IND_ID	Opt	Phen	AbsErr	Fitness
196.0	0.248994	0.00443264	0.244561	0.760953
197.0	0.868417	0.84696	0.0214579	0.786238
198.0	0.351393	0.510042	0.158649	0.717283
199.0	0.997318	1.24733	0.250008	0.806949
200.0	0.489781	-0.0668913	0.556673	0.772309
201.0	0.837697	0.849177	0.0114798	0.814984
202.0	0.177011	0.166112	0.0108996	0.727339
203.0	0.374557	-0.116021	0.490579	0.796727
204.0	0.837139	1.39721	0.560076	0.720495
205.0	0.683426	-0.154413	0.837838	0.652435
206.0	0.646786	0.526045	0.120741	0.879619
207.0	0.345424	0.416469	0.0710453	0.786453
208.0	0.545089	0.446457	0.0986315	0.788463
209.0	0.088683	0.361965	0.273282	0.731416
210.0	0.745906	0.662134	0.0837715	0.740826
211.0	0.817016	0.527043	0.289972	0.708838
212.0	0.756992	0.850863	0.0938706	0.882029
213.0	0.17464	0.0331426	0.141497	0.742041
214.0	0.566851	0.757529	0.190678	0.770789
215.0	0.446047	1.06042	0.614374	0.847626
216.0	0.929006	1.03785	0.108843	0.804013
217.0	0.936842	0.771074	0.165768	0.832063
218.0	0.57224	-0.388206	0.960447	0.762825
219.0	0.441983	0.899792	0.457809	0.882546
220.0	0.237917	0.173637	0.0642792	0.84077
221.0	0.712914	0.436192	0.276722	0.776549
222.0	0.953081	0.502194	0.450887	0.720283
223.0	0.452047	-0.259498	0.711545	0.807477
224.0	0.423742	0.437854	0.0141124	0.758612
225.0	0.32344	0.173486	0.149954	0.625709
226.0	0.1226	0.446773	0.324174	0.83073
227.0	0.427579	0.893182	0.465603	0.852214
228.0	0.101886	0.329666	0.22778	0.839134
229.0	0.571249	0.434866	0.136382	0.792475
230.0	0.0604498	-0.234222	0.294672	0.756547
231.0	0.215003	0.585823	0.37082	0.874095
232.0	0.334431	0.453269	0.118838	0.935364
233.0	0.852235	0.509149	0.343086	0.927656
234.0	0.0693926	0.44642	0.377027	0.863334
235.0	0.229534	0.295583	0.0660482	0.827662
236.0	0.461649	1.15578	0.694128	0.811026
237.0	0.451212	0.30125	0.149962	0.906389
238.0	0.778155	0.353362	0.424794	0.750264
239.0	0.0915156	0.354066	0.262551	0.838352
240.0	0.888187	0.96148	0.0732932	0.921543
241.0	0.182287	-0.736947	0.919234	0.855853
242.0	0.29774	0.577086	0.279345	0.875988
243.0	0.602006	0.710563	0.108557	0.753055
244.0	0.612298	0.314992	0.297306	0.76966
245.0	0.371737	0.702789	0.331052	0.818416
246.0	0.035166	0.317478	0.282312	0.77556
247.0	0.0771125	0.445376	0.368264	0.936507
248.0	0.438087	0.730556	0.29247	0.884692
249.0	0.869292	1.03663	0.167338	0.88769
250.0	0.279805	0.423897	0.144093	0.877655
251.0	0.506167	0.452223	0.0539441	0.789047
252.0	0.234157	0.107133	0.127024	0.840403
253.0	0.795288	0.701549	0.0937387	0.861695
254.0	0.128637	0.499564	0.370927	0.778008
255.0	0.888155	0.70536	0.182794	0.860659
256.0	0.840355	1.38493	0.544576	0.904275
257.0	0.897917	0.872436	0.0254812	0.770366
258.0	0.759727	0.704198	0.0555284	0.859356
259.0	0.762826	0.982409	0.219584	0.768972
260.0	0.745282	1.19012	0.444834	0.813811
261.0	0.960763	1.13036	0.169594	0.896677
262.0	0.0100716	-0.0269385	0.0370102	0.763633
263.0	0.823738	2.053	1.22927	0.774516
264.0	0.257238	0.219638	0.0376003	0.879524
265.0	0.776942	1.05436	0.277416	0.714047
266.0	0.156691	0.9752	0.818509	0.826049
267.0	0.378841	-0.047943	0.426784	0.937034
268.0	0.235037	0.205988	0.0290487	0.72215
269.0	0.59205	0.894077	0.302027	0.796455
270.0	0.900041	0.588626	0.311414	0.903999
271.0	0.155773	0.570691	0.414918	0.815137
272.0	0.17235	-0.205356	0.377706	0.633331
273.0	0.440605	0.132989	0.307615	0.963766
274.0	0.971944	0.208361	0.763582	0.774671
275.0	0.666768	0.661729	0.00503871	0.755809
276.0	0.680459	0.582931	0.0975274	0.769883
277.0	0.74805	0.661761	0.0862889	0.747874
278.0	0.676808	0.552862	0.123946	0.81421
279.0	0.489639	0.675365	0.185725	0.75458
280.0	0.782324	0.261698	0.520626	0.764551
281.0	0.334642	1.04293	0.708289	0.82268
282.0	0.0573807	0.0257399	0.0316408	0.852448
283.0	0.803101	1.12229	0.319193	0.738553
284.0	0.904749	1.01467	0.109919	0.818243
285.0	0.134174	-0.109055	0.243229	0.861693
286.0	0.0331061	0.993537	0.960431	0.789156
287.0	0.172815	-0.0391008	0.211916	0.762668
288.0	0.0267372	0.226922	0.200185	0.794162
289.0	0.671966	0.922437	0.250471	0.83935
290.0	0.711859	0.786838	0.0749796	0.93932
291.0	0.835085	0.704911	0.130174	0.75654
292.0	0.334	0.414726	0.0807254	0.74312
293.0	0.53208	0.130998	0.401082	0.810431
294.0	0.306464	0.412142	0.105678	0.835753
295.0	0.728598	0.5031	0.225499	0.75416
